Age,Income,Knowledge,Risk,Goal,Portfolio
48,1303608,Medium,Low,Wealth Growth,Moderate
34,610305,Low,Medium,Retirement,Moderate
57,897676,Low,High,Retirement,Moderate
31,310264,Low,Medium,Short-Term Gain,Moderate
45,1093296,Medium,Low,Short-Term Gain,Moderate
33,1128631,Medium,High,Retirement,Moderate
58,834154,High,Medium,Wealth Growth,Aggressive
36,666311,Low,Medium,Wealth Growth,Moderate
22,366520,Medium,Medium,Wealth Growth,Moderate
77,605084,Medium,High,Retirement,Moderate
55,693189,High,Low,Short-Term Gain,Moderate
45,634533,Low,High,Short-Term Gain,Moderate
24,1065915,Medium,Medium,Wealth Growth,Moderate
31,1186764,Medium,Medium,Retirement,Moderate
41,791873,High,Medium,Short-Term Gain,Moderate
63,1114842,High,Medium,Retirement,Moderate
60,877666,Low,High,Short-Term Gain,Moderate
39,1053547,Low,High,Wealth Growth,Moderate
77,893768,Low,Low,Short-Term Gain,Moderate
66,684342,Low,Low,Short-Term Gain,Moderate
75,779267,Medium,Medium,Short-Term Gain,Moderate
75,1177542,Medium,Medium,Short-Term Gain,Moderate
56,827392,Medium,Medium,Short-Term Gain,Moderate
55,527091,Low,High,Wealth Growth,Moderate
64,1098445,High,High,Wealth Growth,Aggressive
72,444319,Medium,Medium,Retirement,Moderate
48,1267945,Medium,High,Wealth Growth,Moderate
55,1040636,Medium,Medium,Short-Term Gain,Moderate
37,1415855,Low,High,Retirement,Moderate
71,775691,Medium,Medium,Short-Term Gain,Moderate
30,404866,High,Medium,Short-Term Gain,Moderate
27,592065,High,High,Retirement,Moderate
34,1497998,High,Medium,Retirement,Moderate
29,1285104,Low,High,Retirement,Moderate
20,1356793,Medium,Medium,Short-Term Gain,Moderate
49,1066318,Medium,Medium,Wealth Growth,Moderate
44,1224932,High,High,Short-Term Gain,Moderate
36,933688,High,Medium,Wealth Growth,Aggressive
42,368114,Medium,High,Retirement,Moderate
64,1133909,Low,Low,Short-Term Gain,Moderate
53,1080948,Low,Medium,Short-Term Gain,Moderate
60,703570,Low,Medium,Retirement,Moderate
58,1165101,Medium,Low,Wealth Growth,Moderate
44,688949,Medium,High,Wealth Growth,Moderate
33,1141123,Medium,High,Wealth Growth,Moderate
78,844540,High,High,Retirement,Moderate
27,813549,High,Medium,Retirement,Moderate
80,464179,Medium,Low,Wealth Growth,Moderate
33,1404774,High,Low,Wealth Growth,Moderate
36,484965,Low,Medium,Retirement,Moderate
35,559408,High,Medium,Short-Term Gain,Moderate
26,1041329,Medium,High,Retirement,Moderate
34,377764,Low,Medium,Wealth Growth,Moderate
66,1095282,Medium,High,Retirement,Moderate
50,1108867,Medium,Medium,Retirement,Moderate
36,558875,Low,High,Retirement,Moderate
30,1107695,Medium,Low,Retirement,Moderate
39,1342094,Medium,High,Short-Term Gain,Moderate
48,904794,Low,Low,Short-Term Gain,Moderate
49,760780,Medium,Low,Wealth Growth,Moderate
63,1106224,High,High,Wealth Growth,Aggressive
32,1126004,Low,Medium,Wealth Growth,Moderate
46,1488304,Low,High,Wealth Growth,Moderate
55,1422444,High,Medium,Short-Term Gain,Moderate
46,1339346,Low,High,Retirement,Moderate
77,1001685,High,Medium,Retirement,Moderate
24,1103612,High,Low,Short-Term Gain,Moderate
25,738361,Low,Medium,Short-Term Gain,Moderate
68,417389,Medium,Low,Retirement,Moderate
38,558129,High,Medium,Short-Term Gain,Moderate
26,1463657,Medium,Low,Short-Term Gain,Moderate
71,318020,Medium,Low,Short-Term Gain,Moderate
78,381071,Low,High,Retirement,Moderate
44,391324,Low,Medium,Retirement,Moderate
44,670193,Low,Medium,Retirement,Moderate
50,459886,High,Medium,Retirement,Moderate
